brahui	english	donor	frequency	native_alternatives
daŕd	grief; pain	Farsi	11	husoní; xaļ
darga	gate	Farsi	7	bá
darváza	door	Farsi	6	bá
đas	advice,clue,whereabouts	Balochi	16	pant
daspák	handkerchief	Balochi	2	rúmál
davá	medicine; punishment	Arabic	5	caŧŧí; cikkís; mahmez
đe	place; country	Balochi	3	hand
dildast	palm	Balochi	2	talaf
dimáģ	mind	Arabic	1	can; ust
dín	faith	Arabic	17	sixt
dobá	blame	Sindhi	1	đarrí; doba
đođí	bread	Pashto	2	iraģ
đoh	blame	Sindhi	1	đarrí; doba
dost	friend	Farsi	1	ambal; belí; gáda
droģ	shade; lie	Farsi	4	bʰáf; ŧaká
droşum	feature; appearance	Balochi	4	đek; vadí
drust	whole	Balochi	4	muc; tevaí
duára	again	Farsi	1	padá; valdá; valdáí; vallá
dunyá	world; society; money	Arabic	43	kúŕí; zar
duráx	well; healthy; whole	Balochi	3	dún; joŕ; juání-aŧ; juáníká; ki are; kúh; xaer; yańra; yańran; yarań; sabbar; muc; tevaí
duroģ	lie	Farsi	4	bʰáf; ŧaká
duroşum	appearance	Balochi	3	đek; vadí
duvára	again	Balochi	4	padá; valdá; valdáí; vallá
duvárá	again	Balochi	1	padá; valdá; valdáí; vallá
eńş	luxury	Arabic	1	daor
fareşán	worry	Farsi	4	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí
fark	different	Arabic	3	pen-vaŕ
faryád	complaint	Farsi	1	ģáv
fidá	devoted	Arabic	1	gʰorí
fikir	concern; worry	Arabic	2	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí
fikr	concern; worry	Arabic	1	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí
filán	so and so	Arabic	7	filána; filáná; filání
fuŧ	foot	English	2	más
gadr mann-ińg	to be lost	Balochi	0	parreńg-ing; ziyán hin-ińg
gal	cheerful; happy	Balochi	4	cúr; galán
gal o bál	joyous and happy	Balochi	1	gal o galbál
galí	door	Hindi-Urdu	7	bá
ģalla	grain	Farsi	14	kaŕo
gand	smell	Farsi	10	zabád
ganda	bad	Farsi	2	lunđ
ganŧa	hour	Hindi-Urdu	2	gʰanŧ
ģaraz	use; handle	Arabic	1	marģ
gáŧ	guard	English	15	sipáí
geştir	too much	Balochi	3	geştrí
gʰaŕí	clock	Hindi-Urdu	1	gaŕí
gicen	fine; choice	Balochi	8	caŧŧí; zabr
golí	bullet; pill	Hindi-Urdu	1	sum
gon	together	Balochi	2	avár; aviŕda; tud
guđ	after	Balochi	31	pad; padá
gul o gulzár	flower garden; happiness	Farsi	1	gal o bál
ģulám	slave	Arabic	1	me
gumán	feeling; thought; guess	Farsi	6	kac; curt; gaŕtí; ŧak
ģussa	anger	Arabic	7	xár
hak	right	Arabic	24	rástíko
hakíkat	truth	Arabic	1	rástokís
hálát	situation	Arabic	4	hál; vaŕ
hálíyat	situation	Arabic	3	hál; vaŕ
hameşa	always	Farsi	1	caŕa; sánda; yakká
har-vár	every-time	Farsi	4	har-jár; har-vaxt
háran	horn	English	8	marģ
haŕdusar	both	Farsi	0	aŕtomá; haŕtoká; haŕtomá; tomká
harú-barú	surely; certainly	Sindhi	1	asul; sahí; zaror; zarúr
haŧŧ o sajjá	health	Sindhi	1	haŧ-sajjá
hazgár	rich man	Farsi	1	mír
hikkí	throat	Urdu	2	guŧ; guŧlú
hoş	sense; consciousness	Farsi	10	áfáx; apáx; ceŧ; sár; samá
hukum	order	Arabic	8	hakkal; havála
ikrár	promise	Arabic	1	mann-ińg
ímán	faith	Arabic	4	sixt
inám	reward	Arabic	1	mistáí
inşálá	maybe	Arabic	2	balki; balkin; bar ki; cá-va; diccá; hae ki; navá; yańra; yańran
itlá	news	Arabic	1	đha; havál
izzattí	honorable	Arabic	1	ģaerattí; pírińgá
já	place	Balochi	2	hand
jága	place	Hindi-Urdu	50	hand
jagŕa	argument	Hindi-Urdu	1	raŧ o kuŧ
jah	place	Balochi	2	hand
jahán	world; area	Farsi	3	kúŕí
jańg	fight; battle	Farsi	35	cikk o táŕ
jańjál	problem	Hindi-Urdu	1	sorí
jáńjoŕ	healthy	Farsi	1	sabbar
jaoza	feeling	Arabic	3	kac
jʰolí	vow; plea; cloth	Hindi-Urdu	2	mannişt
jʰupp-ińg	to jump	English	2	jupp-ińg; siŧŧ-ińg; tarađđ-ińg; tarđ-ińg
jí	yes	Hindi-Urdu	18	belí; há; hán; hao; hau
jihán	world; area	Farsi	2	kúŕí
jins	thing	Arabic	2	giŕá
juán	good; okay; well	Balochi	80	dún; joŕ; juání-aŧ; juáníká; ki are; kúh; xaer; yańra; yańran; yarań
kabúl	accepted	Arabic	3	amanná
kál	call	English	1	tavár; xuá-ińg; xuáif-ińg
kalák	hour	Balochi	1	gʰanŧ
kam	little	Farsi	16	cunak
kammí	shortage	Farsi	1	kambútí; káxtí
kaol	pledge; promise	Arabic	7	mann-ińg
kár	action; work	Balochi	4	kárem
kaŕak	hole	Balochi	1	dos; kađ; kʰađ
káŧan	cardboard	English	1	gatta
keb	near	Balochi	1	guar-á; gurá; más; más-á; xuŕk
kímat	price	Arabic	5	baxá
kissa	story; gossip	Arabic	17	hít
kođ	hole	Balochi	1	dos; kađ; kʰađ
kudrat	nature; power; will	Arabic	11	hál; sek; vas
kukkuŕ	hen	Hindi-Urdu	1	kukuŕ
kul	all	Arabic	83	ģuŧ; muc
kul	all	Arabic	0	ģuŧ; muc
kusúr	fault	Arabic	1	bala
laŕza	shiver	Farsi	1	laŕz-ińg
láş	corpse	Turkic	1	dhúnđ; đhúnđ
láşa	corpse	Turkic	1	dhúnđ; đhúnđ
laşkar	army; group	Farsi	4	gal; kaŕda
lođ	load	English	4	bađ; barí; bʰarí
maedán	field; ground	Farsi	11	đaģár; paŧ
maga	but	Farsi	9	bas; vale; vali
magar	but	Farsi	9	bas; vale; vali
maģaz	brain	Arabic	1	milí
máí	lady	Hindi-Urdu	18	godí
máí-báp	boss	Hindi-Urdu	2	báva
maíyat	corpse	Arabic	1	dhúnđ; đhúnđ
majbúr	helpless; compelled	Arabic	3	áhirí; bevák; bevas
majbúrí	compulsion	Urdu	2	zorákí
majilis	meeting; party	Arabic	2	kacárí
majlis	meeting; party	Arabic	16	kacárí
makkahí	maize	Hindi-Urdu	1	zurrat
mál	grocery; property; sheep	Arabic	6	meļ
málá-mál	rich	Urdu	1	mír
máldár	rich	Arabic	2	mír
mámila	matter	Arabic	4	hít
maot	death	Arabic	3	hajal; kazíyat
mark	death	Balochi	4	hajal; kazíyat
márkíŧ	market	English	1	piŕí
marzí	wish	Arabic	3	ust-xuáí; xuáindárí
masxara	jest; joke	Farsi	2	cattar
mattá	attempt	Sindhi	2	jatpat
mattáh	attempt	Sindhi	1	jatpat
mazģ	brain	Arabic	1	milí
mazzúrí	labor	Farsi	2	ģaríbí
mehr	love	Farsi	22	mehr o mábat
mex	nail	Farsi	1	hor-hađ
misál	example; appearance	Arabic	2	đek; vadí
misil	appearance	Arabic	1	đek; vadí
mizzil	distance; halting place	Arabic	11	piŕ
moŧarsáíkal	motorcycle	English	1	paŧpaŧońk
mudám	always; forever	Farsi	2	caŕa; sánda; yakká
mudámí-kin	forever	Farsi	1	sánda
muddat	season; period	Arabic	2	cilla
múş	mouse	Farsi	1	hal
na	neither; nor	Farsi	54	nae
nágumán	suddenly; unexpected	Farsi	4	nágumán-á; náhimgán-ná; salá-balá
nakil	story	Arabic	2	hít
náráz	angry	Farsi	1	xar
nazar	look; eye; viewpoint; perspective	Arabic	17	xan
nem-şaf	midnight	Balochi	2	nan-nema; nemnan
nema	half; middle; equal; side	Farsi	6	kap; kʰap; nám; niyám; niyámíko; siyál; guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí
nestí	poverty	Farsi	1	dú-tańkí; ģaríbí; lańgaŕí
nezgár	poor man	Farsi	1	ģaríb
nezgárí	poverty	Farsi	4	dú-tańkí; ģaríbí; lańgaŕí
nidára	view; sight; scene	Arabic	11	nadára
níl	blue	Farsi	1	xarrun
nirx	price	Farsi	2	baxá
núr	light	Arabic	1	đíva; đívá; tajallí
omet	hope	Farsi	12	hiđđiká
paesa	money	Hindi-Urdu	12	zar
pák	holy; clean	Farsi	3	safá
palańg	bed	Sanskrit	2	kaŧ
pám	attention	Balochi	2	sud; xiyáldárí
panrec	defoliation	Balochi	1	pʰanşol
paŕda	curtain; protection; eardrum	Farsi	6	killa; paźdar; rak
pareşán	worried	Farsi	3	múńjá
páso	side	Sindhi	1	guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí
pázvár	footwear	Balochi	1	littir
peşání	forehead	Farsi	8	tídár
pilán	so and so	Arabic	4	filána; filáná; filání
pír	aged; old	Farsi	18	mutkun
pír-maŕd	old-man; sir	Farsi	9	báva-lumma
po	wise	Balochi	1	guşáda
púrá	whole	Hindi-Urdu	11	muc; tevaí
raģ	nerve	Farsi	1	tár
rańj	cruelty	Farsi	1	zálimí
rást	right	Farsi	3	rástíko
rást	truth; righteousness	Farsi	10	rástokís
raván	active; going	Farsi	3	ráhí; ráí
rází	satisfied	Arabic	1	ser
riváj	manner	Arabic	1	đaol
rođ	road	English	1	kasar
roşnáí	light	Farsi	7	đíva; đívá; tajallí
roźnáí	light	Balochi	2	đíva; đívá; tajallí
rú	soul; mood	Arabic	3	sir; vák
ruźnáí	light	Balochi	1	đíva; đívá; tajallí
sáat	moment; minute	Arabic	7	jʰaŧ
şábás	I order; well done	Farsi	8	şábá
şábáş	I order; well done	Farsi	1	şábá
sáf	clean	Arabic	8	safá
safar	travel	Arabic	1	xall-ińg
sáhat	second; moment	Arabic	1	iraŧŧamíko; jʰaŧ
sáhib	officer; mister	Arabic	1	ján
saí	all right	Arabic	15	sahí; xaer
şakar	sweet	Farsi	38	hanen
salá	advice; decision; inquiry; plan	Arabic	10	pant
salám	greeting	Arabic	12	bʰaŕjoŕí; duráxjoŕ
salámat	majesty; peace	Arabic	15	xaer
sámán	luggage	Farsi	2	mađđí
sangat	friend	Hindi-Urdu	0	ambal; belí; gáda
saodá	sale	Urdu	7	bahá; baxá
sar	head; front; beginning	Farsi	3	káŧum; mon
sara	head	Balochi	2	káŧum
şarajara	meeting	Arabic	1	kacárí
saŕak	road	Urdu	11	kasar
şarminda	ashamed	Farsi	1	şakkí
sarpand mann-ińg	to understand	Balochi	0	po mann-ińg; samj-ińg
savab	result; reason	Arabic	3	leka
saváb	help; reward	Arabic	1	mistáí
saxt	tight; tough; extremely	Farsi	17	gʰaŧ
saxtí	difficulty; toughness	Farsi	2	bebaxtí; kalaí; sorí
sídá	straight	Hindi-Urdu	4	bisaŧ
siddá	straight	Hindi-Urdu	13	bisaŧ
şikár	game; hunting	Arabic	6	şikára
sizá	punishment	Farsi	4	caŧŧí; cikkís; mahmez
sízan	season	English	1	cilla
soc	thought	Hindi-Urdu	19	curt; gaŕtí; ŧak
soj kann-ińg	to ask	Balochi	1	harrif-ińg
sońŕá	beautiful	Sindhi	1	zebal; zebdár
subak	light; very young	Farsi	3	đíva; đívá; tajallí
súrat	beauty	Arabic	1	şádurí
şurú	start	Arabic	1	harf-ińg; lagg-ińg; peş tamm-ińg
şurú mann-ińg	to start	Arabic	0	mon kann-ińg; sar hall-ińg
tab	health; mood; personality	Arabic	10	haŧ-sajjá; sir; vák
tabáhí	destruction	Farsi	1	bala; saŧ
tađđá	carpet; hut	Sindhi	2	konŧ; paŕc; jug
táģat	power; comfort	Arabic	4	hál; sek; vas; ásrátí
tahárma	darkness	Balochi	4	tahárí; tármaí; úndáí
tamám	whole	Arabic	2	muc; tevaí
tambú	tent	Hindi-Urdu	3	gidán
tańk	tight	Farsi	2	gʰaŧ
tanxá	wages	Farsi	1	kʰaŧŧiá; poriyá
tanyá	alone	Farsi	1	yaka
tiđ	locust	Hindi-Urdu	1	malax
toşa	provision; gift	Farsi	3	ŧekí
turundí	force; anger	Balochi	4	xár
ŧabbar	relative	Hindi-Urdu	2	siyál; tenáí
ŧáńg	leg	Hindi-Urdu	1	nat; páca
ŧem	time	English	12	daor
ŧhappí	injured; wounded	Balochi	7	jurr o bur; nur o jur; ŧappí
ŧolí	group	Hindi-Urdu	2	gal; kaŕda
ufallá	alas	Arabic	1	abá; ae; huf; ufaŕesk
uff	alas	Arabic	7	abá; ae; huf; ufaŕesk
umar	age; lifespan; forever	Arabic	1	vahí; sánda
vabál	problem	Arabic	1	sorí
vahm	obsession; worry	Arabic	2	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí
vajúd	feeling; existence	Arabic	1	kac
vákaí	really	Arabic	1	jáí
valáit	all over	Arabic	1	tevaí
vár	time; turn; mood	Hindi-Urdu	40	daor; sir; vák
varandí	reply	Sindhi	7	valdí
várí	round; time	Hindi-Urdu	4	daor
varx	leaf	Arabic	1	pan; pʰan
vaxt	time	Arabic	107	daor
xabar	news	Arabic	3	đha; havál
xaer-xuá	relative; mediator; peace maker	Arabic, Farsi	1	siyál; tenáí
xalás	free; released; finished	Arabic	10	yala; yalaí
xalk	family; village	Arabic	205	álum; xáhot
xána	house	Farsi	3	urá
xaráb	bad; wrong	Arabic	13	lunđ
xatá	mistake	Arabic	1	rad; radí; radíńk
xatam	finish	Arabic	4	caŧ kann-ińg; kúrod
xazána	treasury	Arabic	1	káńŕ
xiyál	attention; idea; thought; state of mind	Arabic	22	sud; xiyáldárí; cakkar; geg; curt; gaŕtí; ŧak
xuája	sir; lord; owner	Farsi	53	báva-lumma
xuaş	happy	Farsi	25	cúr; galán
xuaşşí	happiness	Farsi	13	gal o bál
xuást	request; interest	Farsi	2	dáń
xuş	happy	Farsi	6	cúr; galán
xuşşí	happiness	Farsi	3	gal o bál
yakdam	immediately	Farsi	1	asi-vár-ton; salá-balá; ŧaŕak; vár-aton
yaktanyá	alone	Farsi	1	yaka
yár	friend	Farsi	19	ambal; belí; gáda
yax	coldness	Farsi	20	yaxxí
zahrí	poisonous	Farsi	1	zárí
zál	lady	Farsi	1	godí
zálbúl	woman	Balochi	2	niyáŕí
zamána	time; generation; society	Farsi	7	daor
zan	wife	Farsi	2	cuná; urá; uráí; záífa
zán	knee	Farsi	12	gođ
zeb	beautiful	Farsi	0	zebal; zebdár
zeb	beauty	Farsi	3	şádurí
zebá	beautiful	Farsi	22	zebal; zebdár
zebáí	beauty	Farsi	4	şádurí
zind	life	Farsi	63	ján; sá; sah; sáh; vagr
zindagání	life	Farsi	1	ján; sá; sah; sáh; vagr
zindagí	life	Farsi	3	ján; sá; sah; sáh; vagr
ziyání	destruction	Arabic	1	bala; saŧ
ziyát	more	Arabic	19	battir
zor	power	Farsi	0	hál; sek; vas
zorávar	strong	Farsi	1	saoká
zubán	promise; language	Farsi	1	mann-ińg
zulm	cruelty	Arabic	1	zálimí
ábádí	settlement	Farsi	4	
adá kann-ińg	to fulfil	Arabic	1	
adal	justice	Arabic	4	
adálat	court	Arabic	1	
ádam	Adam	Arabic	1	
ádamí	human	Farsi	4	
ádamzát	human	Arabic	1	
ádmízát	human	Farsi	1	
ádumzát	human	Farsi	2	
aebdár	defective	Arabic	1	
aga	if	Farsi	60	
agar	if	Farsi	1	
agi	if	Farsi	5	
áh o pirád	alas and cry	Farsi	1	
áhúk	antelope	Farsi	1	
ajab	wonderful; unexpected	Arabic	10	
aládín	Aladdin	Arabic	1	
allá	God	Arabic	51	
allá-tálá	God	Arabic	3	
alláh	God	Arabic	7	
amal	action	Arabic	3	
ámax	silly	Arabic	2	
ambár	granary	Farsi	12	
ána	anna	Hindi-Urdu	7	
ańga	still	Balochi	3	
ańgúr	grape	Farsi	24	
arş	divine throne	Arabic	1	
arva	soul	Arabic	2	
arvá	soul	Arabic	1	
ásán	easy	Farsi	1	
ásí	sinner	Arabic	0	
assalám alekum	may peace be on you	Arabic	1	
ástúńk	cuff	Farsi	1	
ásúda	prosperous	Farsi	2	
asúl	rule	Arabic	1	
áxta	preoccupied; busy	Pashto	7	
azáb	torture	Arabic	2	
azábí	suffering	Arabic	7	
azal	beginning	Arabic	1	
ázán	azan	Arabic	3	
aźdihár	cobra	Farsi	6	
ázmáişt	challenge	Farsi	1	
ázmúndá	tested	Farsi	1	
ázmúńda	tested	Farsi	3	
bacc-ińg	to be left	Hindi-Urdu	17	
baccif-ińg	to save	Hindi-Urdu	4	
bádám	almond	Farsi	1	
badí	bad deed	Farsi	4	
badmáş	villain	Farsi	1	
badnasíb	bad luck	Farsi	1	
bádşá	king; bridegroom; owner	Farsi	453	
bádşáí	royal; kingly	Farsi	6	
bádşáí	kingdom; palace	Farsi	62	
baeskal	bicycle	English	4	
báģ	garden	Farsi	44	
bahál	normal	Farsi	2	
bahaşt	paradise	Farsi	1	
báid	mandatory; necessary	Balochi	2	
báísaekal	bicycle	English	1	
bakár	necessary; required	Balochi	3	
balá	goblin	Arabic	17	
balađ pireşar	blood pressure	English	1	
balf	bulb	English	1	
baloc	Baloch	Farsi	7	
bamb	bomb	English	2	
band o bast	some treatment; arrangement	Farsi	2	
bandí	prisoner	Farsi	3	
báńg	crow of a cock	Farsi	3	
bańgula	bungalow; palace	English	19	
banián	underwear	Arabic	1	
bánsurí	flute	Hindi-Urdu	1	
barf	snow; ice	Farsi	12	
barjá	ongoing	Balochi	2	
barosa	guarantee	Hindi-Urdu	1	
bartanía	Britain	Urdu	1	
barxiláf	opposed	Farsi	3	
barxiláf	against	Farsi	1	
básk	upper arm	Balochi	2	
başx	forgiving; share; distribution	Farsi	31	
baxál	Hindu	Arabic	0	
baxt	luck	Farsi	8	
baxtávar	lucky	Farsi	1	
baxxál	Hindu	Arabic	29	
bayábán	wilderness	Urdu	2	
be-nisíb	without-fortune	Farsi	1	
bedáģ	spotless	Farsi	1	
beģaerat	shameless	Farsi	6	
beģam	without sorrow	Farsi	1	
beguá	kidnapped	Balochi	2	
beguhá	kidnapped	Balochi	1	
behoşí	coma	Farsi	1	
bemál	without dower	Arabic	1	
bemálúm	unknown	Arabic	1	
benumází	not praying	Farsi	1	
benusxání	harmless	Arabic	1	
berahm	merciless	Farsi	1	
berozgárí	joblessness	Farsi	1	
berum	bedding	Balochi	3	
betábírí	forecastless	Arabic	1	
betáģat	eager	Arabic	1	
bevafá	faithless	Farsi	1	
bexud	stupor	Farsi	1	
bʰańg	hemp	Hindi-Urdu	1	
bʰańgí	sweeper	Hindi-Urdu	1	
bʰera tin-ińg	to stall	Sindhi	0	
bidar	stranger	Balochi	1	
bigil	drumroll	English	2	
bímár	sick	Farsi	3	
bismilláh	in God's name	Arabic	12	
bíst	twenty	Hindi-Urdu	4	
bişxinda	smile	Balochi	16	
bulbul	nightingale	Farsi	1	
buzgal	goats	Farsi	3	
buzurg	holy; authoritative	Farsi	10	
buzurg	saint; holy person	Farsi	14	
cá	tea	Farsi	12	
cábí	key	Hindi-Urdu	1	
cađđáh-ińg	to detach	Sindhi	2	
cáe	tea	Farsi	2	
cágiŕd	circumstance	Balochi	2	
cakk-ińg	to taste	Urdu	1	
call-ińg	to drive	Urdu	0	
callef-ińg	to drive	Urdu	3	
calleńg-ing	to operate; start working	Urdu	14	
callińg-ing	to be working; be usable	Urdu	2	
caman	lawn	Farsi	3	
cáńŕda	fourteen	Farsi	7	
cappíko	left	Farsi	5	
caprástí	peon	Farsi	2	
cár	four	Farsi	23	
cárdast	gallop; dash	Farsi	1	
cárí	in wait	Balochi	7	
carp	anointing	Farsi	3	
caŕs	hashish	Urdu	1	
caşma	fountain; look	Farsi	8	
cáşt	late morning	Farsi	3	
cicciŕ	offal meat	Hindi-Urdu	2	
cilim	tobacco; hookah	Hindi-Urdu	7	
ciŧŧí	letter	Hindi-Urdu	17	
cokarí	maidservant	Sindhi	7	
coş filání	term of abuse	Balochi, Arabic	1	
cup	quiet	Hindi-Urdu	13	
cuŧŧí	holiday	Hindi-Urdu	2	
dabba	box; luck; fate	Hindi-Urdu	1	
daftar	office	Farsi	6	
daftarí	of office	Farsi	2	
dáí	midwife	Hindi-Urdu	2	
đáksar	doctor	English	18	
dalíl	reasoning; logic	Arabic	3	
dalvat	wealth	Arabic	5	
damám	kettledrum	Farsi	1	
dámán	basin	Farsi	2	
đanđá-kúnđá	pestle-mortar	Hindi-Urdu	1	
đańg	bite,stabbing	Hindi-Urdu	2	
dáńkú	parched grain	Balochi	2	
dannán	tooth	Farsi	4	
dantán	tooth	Farsi	1	
darak	notice	Arabic	4	
daŕakko	threat	Sindhi	1	
daraxt	tree	Farsi	1	
darbár	royal court; council	Farsi	10	
daŕd o ģam	grief and sorrow	Farsi	2	
dáŕel	bandit	Sindhi	5	
darşán	sight	Balochi	2	
dárú	medicine	Farsi	2	
dárú-darmán	medicine and treatment	Farsi	2	
darxuást	application	Farsi	1	
daryá	river	Farsi	7	
daryáb	river	Balochi	2	
darzí	tailor	Farsi	18	
daşt	plateau; Dasht	Farsi	7	
dává	claim	Arabic	1	
dávat	invitation	Arabic	3	
des-pardes	country to country	Hindi-Urdu	1	
dev	giant	Farsi	60	
dhartí	earth	Urdu	1	
đhe	area	Balochi	2	
dhobí	washer	Hindi-Urdu	7	
dída	iris of an eye	Farsi	1	
dídár	sight	Farsi	1	
đigrí	degree	English	2	
diler	bold man	Farsi	2	
diştár	fiancee	Balochi	1	
dívál	wall	Farsi	9	
díván	council	Balochi	10	
diyámán	basin	Farsi	7	
do-sad	two-hundred	Farsi	1	
dobí	washer	Hindi-Urdu	2	
dol	drum	Hindi-Urdu	11	
dost	fond; attached	Farsi	8	
draxt	tree	Farsi	38	
drot	hand kissing; salutation	Balochi	2	
du-sad	two-hundred	Farsi	1	
duá	prayer	Arabic	13	
duáńzda	twelve	Farsi	5	
đub	drowning	Hindi-Urdu	4	
đuk	grief; sorrow	Hindi-Urdu	4	
đukkál	drought	Balochi	2	
dukkán	shop	Arabic	12	
dukkándár	shopkeeper	Arabic	1	
duşman	enemy	Farsi	7	
duz	thief	Farsi	11	
duzz-ińg	to steal	Farsi	1	
duzzí	theft	Farsi	6	
eb-keb	here and there	Balochi	1	
ejizza	female	Arabic	4	
esarí	end	Balochi	2	
etáj o motáj	dependent	Arabic	1	
evaz	revenge	Arabic	1	
faesila	decision	Arabic	16	
faojí	army	Farsi	1	
fareşání	concern	Farsi	1	
farişta	angel	Farsi	2	
fasád	quarrel	Arabic	1	
fasal	harvest	Arabic	1	
fesila	decision	Arabic	0	
firáx	broad	Arabic	2	
foŧú	photo	English	2	
gáđí	vehicle	Hindi-Urdu	11	
ģaebí	invisible	Urdu	1	
ģaerat	honor	Farsi	4	
gaes	gas	English	2	
ģam	sorrow	Arabic	18	
gańj	plentiful	Balochi	1	
gap	speaking	Hindi-Urdu	12	
ģár	cave	Arabic	3	
ģaríb	poor	Arabic	53	
ģark	drowned	Arabic	1	
gaŧ	pressed	Balochi	1	
gaŧ	impasse	Balochi	1	
ģazab	giant	Arabic	1	
ģází	hero	Arabic	1	
gerij	guarage	English	1	
ģíbat	slander	Arabic	1	
girák	customer	Hindi-Urdu	2	
gírám	forgotten	Balochi	1	
guáhidí	testimony	Farsi	3	
guáŕix	tulip	Balochi	5	
gud	shawl	Balochi	22	
guđđíko	last	Balochi	15	
guđsar	final	Balochi	4	
gulúband	tying around	Farsi	1	
gulzamín	earth	Balochi	1	
gum	lost	Farsi	3	
gumgár	lost	Balochi	2	
guná	sin	Farsi	1	
gunágár	guilty	Farsi	1	
ģunđa	villain	Urdu	2	
guŕ	raw sugar	Hindi-Urdu	3	
gurj	need	Sindhi	4	
ģusul	bathing	Arabic	2	
ģusulxána	bathhouse	Arabic, Farsi	2	
guzrán	livelihood	Farsi	5	
habas	excitement; frenzy	Arabic	2	
habas	cry of triumph	Arabic	1	
hađ	bone	Hindi-Urdu	1	
hadd o havel	surrounding	Balochi	2	
haerán	surprised; wondering	Arabic	13	
haerání	wonder	Arabic	1	
haesíyat	status	Arabic	1	
háfiz	hafiz reciter	Arabic	2	
haft	seven	Farsi	36	
hafta	week; Saturday	Farsi	12	
haftád o haft	77	Balochi	8	
hájí	hajji	Arabic	1	
hajjám	barber	Arabic	22	
hak-başxí	forgiveness	Arabic	2	
hákim	ruler	Arabic	2	
