remove	english	donor	remove_uses	keep	keep_uses	caution
saí	all right	Arabic	15	sahí; xaer	7; 28	native gloss broad — check the sense
salámat	majesty; peace	Arabic	15	xaer	28	native gloss broad — check the sense
ģalla	grain	Farsi	14	kaŕo	16	
siddá	straight	Hindi-Urdu	13	bisaŧ	3	loan used 13x vs native 3x
xaráb	bad; wrong	Arabic	13	lunđ	1	loan used 13x vs native 1x; native barely attested
xuaşşí	happiness	Farsi	13	gal o bál	1	loan used 13x vs native 1x; native barely attested
badal	change	Urdu	12	maŧ	2	loan used 12x vs native 2x; native barely attested
omet	hope	Farsi	12	hiđđiká	1	loan used 12x vs native 1x; native barely attested
paesa	money	Hindi-Urdu	12	zar	18	
salám	greeting	Arabic	12	bʰaŕjoŕí; duráxjoŕ	1; 1	loan used 12x vs native 1x; native barely attested
ŧem	time	English	12	daor	4	loan used 12x vs native 4x
zán	knee	Farsi	12	gođ	3	loan used 12x vs native 3x
aval	first	Arabic	11	aolíko; avalmíko; avlíko	1; 3; 12	3 candidates — pick one; candidate is built on the loan's own root
cakkul	spring	Balochi	11	hatam	5	loan used 11x vs native 5x
daŕd	grief; pain	Farsi	11	husoní; xaļ	1; 13	
kudrat	nature; power; will	Arabic	11	hál; sek; vas	13; 2; 8	3 candidates — pick one
maedán	field; ground	Farsi	11	đaģár; paŧ	40; 5	
mizzil	distance; halting place	Arabic	11	piŕ	4	loan used 11x vs native 4x
nidára	view; sight; scene	Arabic	11	nadára	2	loan used 11x vs native 2x; native barely attested; candidate is built on the loan's own root
púrá	whole	Hindi-Urdu	11	muc; tevaí	25; 4	native gloss broad — check the sense
saŕak	road	Urdu	11	kasar	63	
ábád	populated; cultivated; prosperous	Farsi	10	vasam	2	loan used 10x vs native 2x; native barely attested
ahvál	news	Arabic	10	đha; havál	2; 36	candidate is built on the loan's own root
baģal	side	Farsi	10	guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí	1; 0; 1; 8; 27; 1; 1; 1; 6; 9	10 candidates — pick one
candí	several	Farsi	10	kehí	5	loan used 10x vs native 5x
gand	smell	Farsi	10	zabád	4	loan used 10x vs native 4x
hoş	sense; consciousness	Farsi	10	áfáx; apáx; ceŧ; sár; samá	1; 2; 2; 1; 17	5 candidates — pick one
rást	truth; righteousness	Farsi	10	rástokís	1	loan used 10x vs native 1x; native barely attested; candidate is built on the loan's own root
salá	advice; decision; inquiry; plan	Arabic	10	pant	1	loan used 10x vs native 1x; native barely attested
tab	health; mood; personality	Arabic	10	haŧ-sajjá; sir; vák	1; 1; 1	loan used 10x vs native 1x; native barely attested; 3 candidates — pick one
xalás	free; released; finished	Arabic	10	yala; yalaí	19; 1	
biná	beginning; start	Balochi	9	harf-ińg; lagg-ińg; peş tamm-ińg	129; 89; 65	3 candidates — pick one
maga	but	Farsi	9	bas; vale; vali	73; 71; 10	3 candidates — pick one; native gloss broad — check the sense
magar	but	Farsi	9	bas; vale; vali	73; 71; 10	3 candidates — pick one; native gloss broad — check the sense
pír-maŕd	old-man; sir	Farsi	9	báva-lumma	8	loan used 9x vs native 8x
badan	body	Arabic	8	ján; jind; jon	41; 30; 6	3 candidates — pick one; native gloss broad — check the sense
bázár	market	Farsi	8	piŕí	1	loan used 8x vs native 1x; native barely attested
dána	fruit; piece; grain	Farsi	8	bur; cunđ; gappal; kaŕo; ŧukkar; ŧukkur	1; 1; 1; 16; 1; 26	6 candidates — pick one
gicen	fine; choice	Balochi	8	caŧŧí; zabr	1; 3	loan used 8x vs native 3x
háran	horn	English	8	marģ	12	
hukum	order	Arabic	8	hakkal; havála	33; 3	
peşání	forehead	Farsi	8	tídár	1	loan used 8x vs native 1x; native barely attested
şábás	I order; well done	Farsi	8	şábá	4	loan used 8x vs native 4x; candidate is built on the loan's own root
sáf	clean	Arabic	8	safá	16	candidate is built on the loan's own root
ájo	free	Balochi	7	yala; yalaí	19; 1	
bábú	learned man; sir	Hindi-Urdu	7	báva-lumma	8	
ciráģ	lamp	Farsi	7	battí; sor	4; 1	loan used 7x vs native 4x
darga	gate	Farsi	7	bá	52	
filán	so and so	Arabic	7	filána; filáná; filání	2; 1; 14	3 candidates — pick one; candidate is built on the loan's own root
galí	door	Hindi-Urdu	7	bá	52	
ģussa	anger	Arabic	7	xár	6	loan used 7x vs native 6x
kaol	pledge; promise	Arabic	7	mann-ińg	11	
roşnáí	light	Farsi	7	đíva; đívá; tajallí	2; 1; 3	loan used 7x vs native 3x; 3 candidates — pick one
sáat	moment; minute	Arabic	7	jʰaŧ	11	
saodá	sale	Urdu	7	bahá; baxá	3; 4	loan used 7x vs native 4x
ŧhappí	injured; wounded	Balochi	7	jurr o bur; nur o jur; ŧappí	3; 1; 2	loan used 7x vs native 3x; 3 candidates — pick one
uff	alas	Arabic	7	abá; ae; huf; ufaŕesk	8; 0; 2; 1	4 candidates — pick one
varandí	reply	Sindhi	7	valdí	12	
zamána	time; generation; society	Farsi	7	daor	4	loan used 7x vs native 4x
áhvál	news	Arabic	6	đha; havál	2; 36	candidate is built on the loan's own root
amán	safety; protection	Arabic	6	rak	1	loan used 6x vs native 1x; native barely attested
axir	finally; maybe	Arabic	6	guđsará; hala o hala; balki; balkin; bar ki; cá-va; diccá; hae ki; navá; yańra; yańran	0; 1; 9; 2; 3; 17; 11; 2; 24; 15; 1	11 candidates — pick one
dáná	wise	Farsi	6	guşáda	1	loan used 6x vs native 1x; native barely attested
darváza	door	Farsi	6	bá	52	
gumán	feeling; thought; guess	Farsi	6	kac; curt; gaŕtí; ŧak	7; 3; 2; 2	4 candidates — pick one
mál	grocery; property; sheep	Arabic	6	meļ	7	candidate is built on the loan's own root
nema	half; middle; equal; side	Farsi	6	kap; kʰap; nám; niyám; niyámíko; siyál; guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí	10; 4; 2; 34; 5; 0; 1; 0; 1; 8; 27; 1; 1; 1; 6; 9	16 candidates — pick one; candidate is built on the loan's own root
paŕda	curtain; protection; eardrum	Farsi	6	killa; paźdar; rak	2; 1; 1	loan used 6x vs native 2x; native barely attested; 3 candidates — pick one
şikár	game; hunting	Arabic	6	şikára	1	loan used 6x vs native 1x; native barely attested; candidate is built on the loan's own root
xuş	happy	Farsi	6	cúr; galán	4; 1	loan used 6x vs native 4x
adá	brother; guys; sir	Sindhi	5	ílum; báva-lumma	119; 8	
amír	rich; respectable	Arabic	5	mír	42	candidate is built on the loan's own root
aŕdosar	both	Farsi	5	aŕtomá; haŕtoká; haŕtomá; tomká	5; 1; 16; 1	4 candidates — pick one
áşik	lover; crush	Arabic	5	gáda	3	loan used 5x vs native 3x
bábá	dear	Farsi	5	abá; bevas; ģaríb; ján	8; 18; 2; 41	4 candidates — pick one; native gloss broad — check the sense
bad	bad; wrong	Farsi	5	lunđ	1	loan used 5x vs native 1x; native barely attested
barjá	start	Balochi	5	harf-ińg; lagg-ińg; peş tamm-ińg	129; 89; 65	3 candidates — pick one
davá	medicine; punishment	Arabic	5	caŧŧí; cikkís; mahmez	1; 1; 1	loan used 5x vs native 1x; native barely attested; 3 candidates — pick one
kímat	price	Arabic	5	baxá	4	loan used 5x vs native 4x
áxubat	future	Arabic	4	mon	127	
dam	breath	Farsi	4	sá; sáh	9; 3	
droģ	shade; lie	Farsi	4	bʰáf; ŧaká	2; 1	loan used 4x vs native 2x; native barely attested
droşum	feature; appearance	Balochi	4	đek; vadí	3; 15	
drust	whole	Balochi	4	muc; tevaí	25; 4	native gloss broad — check the sense
duroģ	lie	Farsi	4	bʰáf; ŧaká	2; 1	loan used 4x vs native 2x; native barely attested
duvára	again	Balochi	4	padá; valdá; valdáí; vallá	29; 67; 1; 4	4 candidates — pick one
fareşán	worry	Farsi	4	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí	2; 1; 3; 3; 4; 2	6 candidates — pick one
gal	cheerful; happy	Balochi	4	cúr; galán	4; 1	candidate is built on the loan's own root
hálát	situation	Arabic	4	hál; vaŕ	13; 22	native gloss broad — check the sense; candidate is built on the loan's own root
har-vár	every-time	Farsi	4	har-jár; har-vaxt	1; 1	loan used 4x vs native 1x; native barely attested
ímán	faith	Arabic	4	sixt	2	loan used 4x vs native 2x; native barely attested
kár	action; work	Balochi	4	kárem	53	native gloss broad — check the sense; candidate is built on the loan's own root
laşkar	army; group	Farsi	4	gal; kaŕda	4; 1	
lođ	load	English	4	bađ; barí; bʰarí	15; 2; 0	3 candidates — pick one
mámila	matter	Arabic	4	hít	157	
mark	death	Balochi	4	hajal; kazíyat	1; 2	loan used 4x vs native 2x; native barely attested
nágumán	suddenly; unexpected	Farsi	4	nágumán-á; náhimgán-ná; salá-balá	2; 1; 2	loan used 4x vs native 2x; native barely attested; 3 candidates — pick one; candidate is built on the loan's own root
nezgárí	poverty	Farsi	4	dú-tańkí; ģaríbí; lańgaŕí	1; 10; 8	3 candidates — pick one
pilán	so and so	Arabic	4	filána; filáná; filání	2; 1; 14	3 candidates — pick one
sídá	straight	Hindi-Urdu	4	bisaŧ	3	loan used 4x vs native 3x
sizá	punishment	Farsi	4	caŧŧí; cikkís; mahmez	1; 1; 1	loan used 4x vs native 1x; native barely attested; 3 candidates — pick one
táģat	power; comfort	Arabic	4	hál; sek; vas; ásrátí	13; 2; 8; 7	4 candidates — pick one
tahárma	darkness	Balochi	4	tahárí; tármaí; úndáí	2; 9; 2	3 candidates — pick one; candidate is built on the loan's own root
turundí	force; anger	Balochi	4	xár	6	
várí	round; time	Hindi-Urdu	4	daor	4	
xatam	finish	Arabic	4	caŧ kann-ińg; kúrod	8; 1	
zebáí	beauty	Farsi	4	şádurí	4	
aoliád	children	Arabic	3	zehzád	2	loan used 3x vs native 2x; native barely attested
aosar	boss	English	3	báva	104	
ávál	news	Arabic	3	đha; havál	2; 36	
bálŧín	bucket	Urdu	3	caŕah; urullá	7; 5	
barábar	correct; exactly; flat	Farsi	3	safá; ŧák; patan; thápal; tikka	16; 4; 1; 1; 0	5 candidates — pick one
barebar	equal	Farsi	3	siyál	0	loan used 3x vs native 0x; native barely attested
bij	seed	Hindi-Urdu	3	gađđa	2	loan used 3x vs native 2x; native barely attested
bo	smell	Farsi	3	zabád	4	
cáxú	knife	Farsi	3	kattár	6	
đe	place; country	Balochi	3	hand	12	
duráx	well; healthy; whole	Balochi	3	dún; joŕ; juání-aŧ; juáníká; ki are; kúh; xaer; yańra; yańran; yarań; sabbar; muc; tevaí	34; 1; 6; 1; 7; 2; 28; 15; 1; 2; 4; 25; 4	13 candidates — pick one
duroşum	appearance	Balochi	3	đek; vadí	3; 15	
fark	different	Arabic	3	pen-vaŕ	1	loan used 3x vs native 1x; native barely attested
geştir	too much	Balochi	3	geştrí	1	loan used 3x vs native 1x; native barely attested; candidate is built on the loan's own root
hálíyat	situation	Arabic	3	hál; vaŕ	13; 22	native gloss broad — check the sense; candidate is built on the loan's own root
jahán	world; area	Farsi	3	kúŕí	1	loan used 3x vs native 1x; native barely attested
jaoza	feeling	Arabic	3	kac	7	
kabúl	accepted	Arabic	3	amanná	4	
majbúr	helpless; compelled	Arabic	3	áhirí; bevák; bevas	7; 1; 18	3 candidates — pick one; native gloss broad — check the sense
maot	death	Arabic	3	hajal; kazíyat	1; 2	loan used 3x vs native 2x; native barely attested
marzí	wish	Arabic	3	ust-xuáí; xuáindárí	1; 2	loan used 3x vs native 2x; native barely attested
pák	holy; clean	Farsi	3	safá	16	
pareşán	worried	Farsi	3	múńjá	14	
rást	right	Farsi	3	rástíko	3	candidate is built on the loan's own root
raván	active; going	Farsi	3	ráhí; ráí	27; 2	
rú	soul; mood	Arabic	3	sir; vák	1; 1	loan used 3x vs native 1x; native barely attested
sar	head; front; beginning	Farsi	3	káŧum; mon	83; 127	
savab	result; reason	Arabic	3	leka	1	loan used 3x vs native 1x; native barely attested
subak	light; very young	Farsi	3	đíva; đívá; tajallí	2; 1; 3	3 candidates — pick one
tambú	tent	Hindi-Urdu	3	gidán	14	
toşa	provision; gift	Farsi	3	ŧekí	6	
xabar	news	Arabic	3	đha; havál	2; 36	
xána	house	Farsi	3	urá	107	
xuşşí	happiness	Farsi	3	gal o bál	1	loan used 3x vs native 1x; native barely attested
zeb	beauty	Farsi	3	şádurí	4	
zindagí	life	Farsi	3	ján; sá; sah; sáh; vagr	41; 9; 2; 3; 1	5 candidates — pick one; native gloss broad — check the sense
ázát	free	Farsi	2	yala; yalaí	19; 1	
bálişt	pillow	Farsi	2	baŕzí	1	loan used 2x vs native 1x; native barely attested
bezár	desperate; disappointed	Farsi	2	đukkiá	1	loan used 2x vs native 1x; native barely attested
camk-ińg	to shine	Farsi	2	cimikk-ińg; jarakk-ińg; jirikk-ińg	2; 1; 2	native barely attested; 3 candidates — pick one
cándí	silver	Hindi-Urdu	2	píhun	13	
capla	slap	Farsi	2	capánŧ	1	loan used 2x vs native 1x; native barely attested
cehra	face	Farsi	2	búz; mon	2; 127	
daspák	handkerchief	Balochi	2	rúmál	6	
dildast	palm	Balochi	2	talaf	2	native barely attested
đođí	bread	Pashto	2	iraģ	37	
fikir	concern; worry	Arabic	2	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí	2; 1; 3; 3; 4; 2	6 candidates — pick one
fuŧ	foot	English	2	más	5	native gloss broad — check the sense
ganda	bad	Farsi	2	lunđ	1	loan used 2x vs native 1x; native barely attested
ganŧa	hour	Hindi-Urdu	2	gʰanŧ	1	loan used 2x vs native 1x; native barely attested
gon	together	Balochi	2	avár; aviŕda; tud	51; 1; 8	3 candidates — pick one
hikkí	throat	Urdu	2	guŧ; guŧlú	7; 1	
inşálá	maybe	Arabic	2	balki; balkin; bar ki; cá-va; diccá; hae ki; navá; yańra; yańran	9; 2; 3; 17; 11; 2; 24; 15; 1	9 candidates — pick one
já	place	Balochi	2	hand	12	
jah	place	Balochi	2	hand	12	
jʰolí	vow; plea; cloth	Hindi-Urdu	2	mannişt	1	loan used 2x vs native 1x; native barely attested
jʰupp-ińg	to jump	English	2	jupp-ińg; siŧŧ-ińg; tarađđ-ińg; tarđ-ińg	0; 10; 1; 1	4 candidates — pick one
jihán	world; area	Farsi	2	kúŕí	1	loan used 2x vs native 1x; native barely attested
jins	thing	Arabic	2	giŕá	29	
máí-báp	boss	Hindi-Urdu	2	báva	104	
majbúrí	compulsion	Urdu	2	zorákí	1	loan used 2x vs native 1x; native barely attested
majilis	meeting; party	Arabic	2	kacárí	17	
máldár	rich	Arabic	2	mír	42	
masxara	jest; joke	Farsi	2	cattar	1	loan used 2x vs native 1x; native barely attested
mattá	attempt	Sindhi	2	jatpat	4	
mazzúrí	labor	Farsi	2	ģaríbí	10	
misál	example; appearance	Arabic	2	đek; vadí	3; 15	
mudám	always; forever	Farsi	2	caŕa; sánda; yakká	13; 3; 5	3 candidates — pick one
muddat	season; period	Arabic	2	cilla	6	
nakil	story	Arabic	2	hít	157	
nem-şaf	midnight	Balochi	2	nan-nema; nemnan	2; 2	native barely attested
nirx	price	Farsi	2	baxá	4	
palańg	bed	Sanskrit	2	kaŧ	5	
pám	attention	Balochi	2	sud; xiyáldárí	2; 3	
roźnáí	light	Balochi	2	đíva; đívá; tajallí	2; 1; 3	3 candidates — pick one
sámán	luggage	Farsi	2	mađđí	3	
sara	head	Balochi	2	káŧum	83	
saxtí	difficulty; toughness	Farsi	2	bebaxtí; kalaí; sorí	3; 3; 2	3 candidates — pick one
tađđá	carpet; hut	Sindhi	2	konŧ; paŕc; jug	2; 5; 9	3 candidates — pick one
tamám	whole	Arabic	2	muc; tevaí	25; 4	native gloss broad — check the sense
tańk	tight	Farsi	2	gʰaŧ	1	loan used 2x vs native 1x; native barely attested
ŧabbar	relative	Hindi-Urdu	2	siyál; tenáí	4; 1	
ŧolí	group	Hindi-Urdu	2	gal; kaŕda	4; 1	
vahm	obsession; worry	Arabic	2	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí	2; 1; 3; 3; 4; 2	6 candidates — pick one
xuást	request; interest	Farsi	2	dáń	1	loan used 2x vs native 1x; native barely attested
zálbúl	woman	Balochi	2	niyáŕí	20	
zan	wife	Farsi	2	cuná; urá; uráí; záífa	131; 107; 17; 70	4 candidates — pick one
acának	suddenly	Hindi-Urdu	1	nágumán-á; náhimgán-ná; salá-balá	2; 1; 2	native barely attested; 3 candidates — pick one
aeb	fault	Arabic	1	bala	5	
aesás	sense of touch; feeling	Arabic	1	kac	7	
áhválakárí	publicity; press	Balochi	1	dab tin-ińg	0	loan used 1x vs native 0x; native barely attested
amn-emní	peace	Arabic	1	xaer	28	native gloss broad — check the sense
andar	hiding; inside	Farsi	1	andarí; tah; tahŧí; teh	4; 1; 17; 1	4 candidates — pick one; candidate is built on the loan's own root
ańjám	promise; date	Arabic	1	mann-ińg	11	
ásopáso	vicinity	Sindhi	1	xuŕk	1	native barely attested
badrú	bad	Farsi	1	lunđ	1	native barely attested
bardáşt	fortitude	Farsi	1	sag	4	
birádarí	company; relative	Farsi	1	siyál; tenáí	4; 1	
biyábaxaer	welcome	Farsi	1	ba xaeraŧ	0	loan used 1x vs native 0x; native barely attested
bolí	talk; dialect	Hindi-Urdu	1	báduví	2	native barely attested
búŧí	piece	Hindi-Urdu	1	bur; cunđ; gappal; kaŕo; ŧukkar; ŧukkur	1; 1; 1; 16; 1; 26	6 candidates — pick one
cammakk-ińg	to shine	Farsi	1	cimikk-ińg; jarakk-ińg; jirikk-ińg	2; 1; 2	native barely attested; 3 candidates — pick one
cappal	sandal	Hindi-Urdu	1	cavaŧ	7	
carx	circle	Farsi	1	pʰerí	5	
cokará	boy	Sindhi	1	már	131	
dáńh	grumble	Sindhi	1	raŧ-ińg	2	native barely attested
dimáģ	mind	Arabic	1	can; ust	1; 90	
dobá	blame	Sindhi	1	đarrí; doba	2; 1	native barely attested; candidate is built on the loan's own root
đoh	blame	Sindhi	1	đarrí; doba	2; 1	native barely attested
dost	friend	Farsi	1	ambal; belí; gáda	56; 0; 3	3 candidates — pick one
duára	again	Farsi	1	padá; valdá; valdáí; vallá	29; 67; 1; 4	4 candidates — pick one
duvárá	again	Balochi	1	padá; valdá; valdáí; vallá	29; 67; 1; 4	4 candidates — pick one
eńş	luxury	Arabic	1	daor	4	
faryád	complaint	Farsi	1	ģáv	3	
fidá	devoted	Arabic	1	gʰorí	1	native barely attested
fikr	concern; worry	Arabic	1	cikár; cikkís; curt; gaŕ; gaŕattí; múńjáí	2; 1; 3; 3; 4; 2	6 candidates — pick one
gal o bál	joyous and happy	Balochi	1	gal o galbál	1	native barely attested
ģaraz	use; handle	Arabic	1	marģ	12	
gʰaŕí	clock	Hindi-Urdu	1	gaŕí	11	
golí	bullet; pill	Hindi-Urdu	1	sum	9	
gul o gulzár	flower garden; happiness	Farsi	1	gal o bál	1	native barely attested
ģulám	slave	Arabic	1	me	1	native barely attested
hakíkat	truth	Arabic	1	rástokís	1	native barely attested
hameşa	always	Farsi	1	caŕa; sánda; yakká	13; 3; 5	3 candidates — pick one
harú-barú	surely; certainly	Sindhi	1	asul; sahí; zaror; zarúr	12; 7; 2; 9	4 candidates — pick one; native gloss broad — check the sense
haŧŧ o sajjá	health	Sindhi	1	haŧ-sajjá	1	native barely attested
hazgár	rich man	Farsi	1	mír	0	loan used 1x vs native 0x; native barely attested
ikrár	promise	Arabic	1	mann-ińg	11	
inám	reward	Arabic	1	mistáí	1	native barely attested
itlá	news	Arabic	1	đha; havál	2; 36	
izzattí	honorable	Arabic	1	ģaerattí; pírińgá	1; 1	native barely attested
jagŕa	argument	Hindi-Urdu	1	raŧ o kuŧ	1	native barely attested
jańjál	problem	Hindi-Urdu	1	sorí	2	native barely attested
jáńjoŕ	healthy	Farsi	1	sabbar	4	
kál	call	English	1	tavár; xuá-ińg; xuáif-ińg	96; 42; 24	3 candidates — pick one
kalák	hour	Balochi	1	gʰanŧ	1	native barely attested
kammí	shortage	Farsi	1	kambútí; káxtí	1; 1	native barely attested
kaŕak	hole	Balochi	1	dos; kađ; kʰađ	1; 1; 6	3 candidates — pick one
káŧan	cardboard	English	1	gatta	6	
keb	near	Balochi	1	guar-á; gurá; más; más-á; xuŕk	8; 8; 5; 15; 31	5 candidates — pick one
kođ	hole	Balochi	1	dos; kađ; kʰađ	1; 1; 6	3 candidates — pick one; candidate is built on the loan's own root
kukkuŕ	hen	Hindi-Urdu	1	kukuŕ	9	
kusúr	fault	Arabic	1	bala	5	
laŕza	shiver	Farsi	1	laŕz-ińg	9	candidate is built on the loan's own root
láş	corpse	Turkic	1	dhúnđ; đhúnđ	1; 4	
láşa	corpse	Turkic	1	dhúnđ; đhúnđ	1; 4	
maģaz	brain	Arabic	1	milí	5	
maíyat	corpse	Arabic	1	dhúnđ; đhúnđ	1; 4	
makkahí	maize	Hindi-Urdu	1	zurrat	2	native barely attested
málá-mál	rich	Urdu	1	mír	42	
márkíŧ	market	English	1	piŕí	1	native barely attested
mattáh	attempt	Sindhi	1	jatpat	4	
mazģ	brain	Arabic	1	milí	5	
mex	nail	Farsi	1	hor-hađ	2	native barely attested
misil	appearance	Arabic	1	đek; vadí	3; 15	
moŧarsáíkal	motorcycle	English	1	paŧpaŧońk	2	native barely attested
mudámí-kin	forever	Farsi	1	sánda	3	
múş	mouse	Farsi	1	hal	4	
náráz	angry	Farsi	1	xar	1	native barely attested
nestí	poverty	Farsi	1	dú-tańkí; ģaríbí; lańgaŕí	1; 10; 8	3 candidates — pick one
nezgár	poor man	Farsi	1	ģaríb	2	native barely attested
níl	blue	Farsi	1	xarrun	17	
núr	light	Arabic	1	đíva; đívá; tajallí	2; 1; 3	3 candidates — pick one
panrec	defoliation	Balochi	1	pʰanşol	1	native barely attested
páso	side	Sindhi	1	guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí	1; 0; 1; 8; 27; 1; 1; 1; 6; 9	10 candidates — pick one
pázvár	footwear	Balochi	1	littir	5	
po	wise	Balochi	1	guşáda	1	native barely attested
raģ	nerve	Farsi	1	tár	1	native barely attested
rańj	cruelty	Farsi	1	zálimí	1	native barely attested
rází	satisfied	Arabic	1	ser	1	native barely attested
riváj	manner	Arabic	1	đaol	1	native barely attested
rođ	road	English	1	kasar	63	
ruźnáí	light	Balochi	1	đíva; đívá; tajallí	2; 1; 3	3 candidates — pick one
şábáş	I order; well done	Farsi	1	şábá	4	candidate is built on the loan's own root
safar	travel	Arabic	1	xall-ińg	123	native gloss broad — check the sense
sáhat	second; moment	Arabic	1	iraŧŧamíko; jʰaŧ	9; 11	
sáhib	officer; mister	Arabic	1	ján	41	native gloss broad — check the sense
şarajara	meeting	Arabic	1	kacárí	17	
şarminda	ashamed	Farsi	1	şakkí	1	native barely attested
saváb	help; reward	Arabic	1	mistáí	1	native barely attested
sízan	season	English	1	cilla	6	
soj kann-ińg	to ask	Balochi	1	harrif-ińg	102	
sońŕá	beautiful	Sindhi	1	zebal; zebdár	2; 1	native barely attested
súrat	beauty	Arabic	1	şádurí	4	
şurú	start	Arabic	1	harf-ińg; lagg-ińg; peş tamm-ińg	129; 89; 65	3 candidates — pick one
tabáhí	destruction	Farsi	1	bala; saŧ	5; 1	
tanxá	wages	Farsi	1	kʰaŧŧiá; poriyá	4; 11	
tanyá	alone	Farsi	1	yaka	1	native barely attested
tiđ	locust	Hindi-Urdu	1	malax	1	native barely attested
ŧáńg	leg	Hindi-Urdu	1	nat; páca	46; 1	
ufallá	alas	Arabic	1	abá; ae; huf; ufaŕesk	8; 0; 2; 1	4 candidates — pick one
umar	age; lifespan; forever	Arabic	1	vahí; sánda	4; 3	
vabál	problem	Arabic	1	sorí	2	native barely attested
vajúd	feeling; existence	Arabic	1	kac	7	
vákaí	really	Arabic	1	jáí	5	
valáit	all over	Arabic	1	tevaí	6	
varx	leaf	Arabic	1	pan; pʰan	1; 8	
xaer-xuá	relative; mediator; peace maker	Arabic, Farsi	1	siyál; tenáí	4; 1	
xatá	mistake	Arabic	1	rad; radí; radíńk	5; 5; 1	3 candidates — pick one
xazána	treasury	Arabic	1	káńŕ	1	native barely attested
